"MiniSonde 4a "
"Log File Name : Online Monitoring"
"Setup Date (MM/DD/YYYY) : 04/04/2013"
"Setup Time (HH:MM:SS) : 17:20:42"
"Starting Date (MM/DD/YYYY) : 04/04/2013"
"Starting Time (HH:MM:SS) : 17:20:42"
"Stopping Date (MM/DD/YYYY) : 04/04/2013"
"Stopping Time (HH:MM:SS) : 17:21:09"
"Interval (HH:MM:SS) : 00:00:01"

"Date","Time","Temp","","pH","","SpCond","","Sal","","DO%","","DO","","DEP25","","PAR","","RPAR","","TurbSC","","CHL","","CHL",""
"MM/DD/YYYY","HH:MM:SS","°C","","Units","","µS/cm","","ppt","","Sat","","mg/l","","meters","","µE/s/m²","","µE/s/m²","","NTU","","µg/l","","Volts",""

04/04/2013,17:20:42,18.30,"",8.15,"",676,"",0.35,"",98.7,"",7.69,"",-0.10,"",1223,"",289,"",16.4,"",6.49,"",0.06164,""
04/04/2013,17:20:43,18.30,"",8.15,"",677,"",0.35,"",98.1,"",7.65,"",-0.09,"",1215,"",273,"",16.4,"",6.42,"",0.06208,""
04/04/2013,17:20:44,18.30,"",8.15,"",677,"",0.35,"",98.1,"",7.65,"",-0.09,"",1215,"",273,"",16.4,"",6.42,"",0.06208,""
04/04/2013,17:20:45,18.28,"",8.14,"",679,"",0.35,"",98.1,"",7.65,"",-0.10,"",1113,"",219,"",16.4,"",6.47,"",0.06309,""
04/04/2013,17:20:46,18.28,"",8.14,"",679,"",0.35,"",98.1,"",7.65,"",-0.10,"",1113,"",219,"",16.4,"",6.47,"",0.06309,""
04/04/2013,17:20:47,18.25,"",8.15,"",680,"",0.35,"",98.2,"",7.67,"",-0.03,"",1052,"",219,"",16.5,"",6.57,"",0.06324,""
04/04/2013,17:20:48,18.25,"",8.15,"",680,"",0.35,"",98.2,"",7.67,"",-0.03,"",1052,"",205,"",16.5,"",6.57,"",0.06324,""
04/04/2013,17:20:49,18.26,"",8.14,"",679,"",0.35,"",97.8,"",7.63,"",0.10,"",559,"",198,"",16.5,"",6.59,"",0.06321,""
04/04/2013,17:20:50,18.26,"",8.14,"",679,"",0.35,"",97.8,"",7.63,"",0.10,"",559,"",198,"",16.5,"",6.59,"",0.06321,""
04/04/2013,17:20:51,18.24,"",8.13,"",684,"",0.35,"",97.1,"",7.58,"",0.39,"",278,"",196,"",16.5,"",6.58,"",0.06358,""
04/04/2013,17:20:52,18.24,"",8.13,"",684,"",0.35,"",97.1,"",7.58,"",0.39,"",278,"",196,"",16.5,"",6.58,"",0.06358,""
04/04/2013,17:20:53,18.19,"",8.14,"",683,"",0.35,"",97.3,"",7.61,"",0.58,"",151,"",195,"",16.6,"",6.62,"",0.06357,""
04/04/2013,17:20:54,18.19,"",8.14,"",683,"",0.35,"",97.3,"",7.61,"",0.58,"",151,"",195,"",16.6,"",6.62,"",0.06357,""
04/04/2013,17:20:55,18.20,"",8.13,"",683,"",0.35,"",97.1,"",7.59,"",0.75,"",108,"",195,"",16.6,"",6.62,"",0.06409,""
04/04/2013,17:20:56,18.19,"",8.13,"",685,"",0.35,"",96.9,"",7.57,"",0.87,"",108,"",195,"",16.6,"",6.68,"",0.06535,""
04/04/2013,17:20:57,18.19,"",8.13,"",685,"",0.35,"",96.9,"",7.57,"",0.87,"",104,"",192,"",16.6,"",6.68,"",0.06535,""
04/04/2013,17:20:58,18.15,"",8.12,"",686,"",0.35,"",96.7,"",7.56,"",0.98,"",68,"",189,"",16.7,"",6.81,"",0.06602,""
04/04/2013,17:20:59,18.15,"",8.12,"",686,"",0.35,"",96.7,"",7.56,"",0.98,"",68,"",189,"",16.7,"",6.81,"",0.06602,""
04/04/2013,17:21:00,18.12,"",8.13,"",684,"",0.35,"",96.3,"",7.54,"",1.04,"",61,"",189,"",16.7,"",6.88,"",0.06719,""
04/04/2013,17:21:01,18.12,"",8.13,"",684,"",0.35,"",96.3,"",7.54,"",1.04,"",61,"",189,"",16.7,"",6.88,"",0.06719,""
04/04/2013,17:21:02,18.14,"",8.14,"",682,"",0.35,"",97.5,"",7.63,"",1.09,"",22,"",187,"",16.8,"",7.22,"",0.07047,""
04/04/2013,17:21:06,18.14,"",8.14,"",682,"",0.35,"",97.5,"",7.63,"",1.09,"",22,"",187,"",16.8,"",7.22,"",0.07047,""
04/04/2013,17:21:07,18.15,"",8.14,"",684,"",0.35,"",97.7,"",7.64,"",0.88,"",327,"",193,"",16.9,"",7.34,"",0.07082,""
04/04/2013,17:21:08,18.15,"",8.14,"",684,"",0.35,"",97.7,"",7.64,"",0.88,"",327,"",193,"",16.9,"",7.34,"",0.07082,""
04/04/2013,17:21:09,18.18,"",8.14,"",679,"",0.35,"",98.2,"",7.67,"",0.06,"",1443,"",193,"",16.9,"",7.38,"",0.07060,""
04/04/2013,17:21:10,18.18,"",8.14,"",679,"",0.35,"",98.2,"",7.67,"",0.06,"",1443,"",193,"",16.9,"",7.38,"",0.07060,""
