"MiniSonde 4a "
"Log File Name : Online Monitoring"
"Setup Date (MM/DD/YYYY) : 04/04/2013"
"Setup Time (HH:MM:SS) : 10:47:29"
"Starting Date (MM/DD/YYYY) : 04/04/2013"
"Starting Time (HH:MM:SS) : 10:47:29"
"Stopping Date (MM/DD/YYYY) : 04/04/2013"
"Stopping Time (HH:MM:SS) : 11:22:57"
"Interval (HH:MM:SS) : 00:00:01"

"Date","Time","Temp","","pH","","SpCond","","DO%","","DO","","DEP25","","PAR","","RPAR","","TurbSC","","CHL","","CHL",""
"MM/DD/YYYY","HH:MM:SS","°C","","Units","","µS/cm","","Sat","","mg/l","","meters","","µE/s/m²","","µE/s/m²","","NTU","","µg/l","","Volts",""

04/04/2013,10:47:29,16.95,"",8.44,"",463,"",98.6,"",7.91,"",0.30,"",406,"",290,"",10.6,"",8.69,"",0.08374,""
04/04/2013,10:47:30,16.95,"",8.44,"",463,"",98.6,"",7.91,"",0.30,"",406,"",290,"",10.6,"",8.69,"",0.08374,""
04/04/2013,10:47:31,16.95,"",8.45,"",462,"",98.3,"",7.89,"",0.33,"",407,"",290,"",9.9,"",8.72,"",0.08357,""
04/04/2013,10:47:32,16.96,"",8.45,"",464,"",98.3,"",7.89,"",0.33,"",407,"",290,"",9.9,"",8.72,"",0.08357,""
04/04/2013,10:47:33,16.96,"",8.45,"",464,"",97.8,"",7.85,"",0.29,"",389,"",289,"",9.7,"",8.71,"",0.08393,""
04/04/2013,10:47:34,16.97,"",8.45,"",462,"",98.1,"",7.87,"",0.32,"",389,"",289,"",9.8,"",8.74,"",0.08350,""
04/04/2013,10:47:35,16.97,"",8.45,"",462,"",98.1,"",7.87,"",0.32,"",405,"",288,"",9.8,"",8.74,"",0.08350,""
04/04/2013,10:47:36,16.97,"",8.45,"",462,"",98.3,"",7.89,"",0.32,"",405,"",286,"",9.8,"",8.70,"",0.08285,""
04/04/2013,10:47:37,16.97,"",8.45,"",462,"",98.3,"",7.89,"",0.32,"",405,"",286,"",9.8,"",8.70,"",0.08285,""
04/04/2013,10:47:38,16.97,"",8.45,"",463,"",98.0,"",7.86,"",0.29,"",405,"",286,"",10.0,"",8.63,"",0.08321,""
04/04/2013,10:47:39,16.97,"",8.45,"",463,"",98.0,"",7.86,"",0.29,"",405,"",286,"",10.0,"",8.63,"",0.08321,""
