"MiniSonde 4a "
"Log File Name : Online Monitoring"
"Setup Date (MM/DD/YYYY) : 04/04/2013"
"Setup Time (HH:MM:SS) : 13:32:40"
"Starting Date (MM/DD/YYYY) : 04/04/2013"
"Starting Time (HH:MM:SS) : 13:32:40"
"Stopping Date (MM/DD/YYYY) : 04/04/2013"
"Stopping Time (HH:MM:SS) : 13:34:04"
"Interval (HH:MM:SS) : 00:00:01"

"Date","Time","Temp","","pH","","SpCond","","Sal","","DEP25","","PAR","","RPAR","","TurbSC","","CHL","","CHL",""
"MM/DD/YYYY","HH:MM:SS","°C","","Units","","µS/cm","","ppt","","meters","","µE/s/m²","","µE/s/m²","","NTU","","µg/l","","Volts",""

04/04/2013,13:32:40,17.49,"",7.95,"",217,"",0.10,"",0.02,"",1016,"",909,"",11.8,"",2.73,"",0.02953,""
04/04/2013,13:32:41,17.49,"",7.95,"",216,"",0.10,"",0.06,"",917,"",868,"",11.1,"",3.08,"",0.03302,""
04/04/2013,13:32:42,17.49,"",7.95,"",216,"",0.10,"",0.06,"",917,"",868,"",11.1,"",3.08,"",0.03302,""
04/04/2013,13:32:43,17.49,"",7.95,"",216,"",0.10,"",0.03,"",843,"",842,"",12.0,"",3.44,"",0.03820,""
04/04/2013,13:32:44,17.49,"",7.95,"",216,"",0.10,"",0.03,"",843,"",842,"",12.0,"",3.44,"",0.03820,""
04/04/2013,13:32:45,17.49,"",7.96,"",217,"",0.10,"",0.01,"",728,"",815,"",13.6,"",3.98,"",0.04332,""
04/04/2013,13:32:46,17.49,"",7.96,"",217,"",0.10,"",0.01,"",728,"",815,"",13.6,"",3.98,"",0.04332,""
04/04/2013,13:32:47,17.49,"",7.95,"",217,"",0.10,"",0.04,"",791,"",803,"",11.4,"",4.51,"",0.04776,""
04/04/2013,13:32:48,17.49,"",7.95,"",216,"",0.10,"",0.00,"",791,"",803,"",11.4,"",4.97,"",0.04776,""
04/04/2013,13:32:49,17.49,"",7.95,"",216,"",0.10,"",0.00,"",779,"",788,"",11.9,"",4.97,"",0.05005,""
04/04/2013,13:32:50,17.49,"",7.95,"",216,"",0.10,"",0.02,"",594,"",784,"",13.4,"",5.21,"",0.05254,""
04/04/2013,13:32:51,17.49,"",7.95,"",216,"",0.10,"",0.02,"",594,"",784,"",13.4,"",5.21,"",0.05254,""
04/04/2013,13:32:52,17.48,"",7.94,"",217,"",0.10,"",0.27,"",404,"",778,"",12.6,"",5.47,"",0.05487,""
04/04/2013,13:32:53,17.48,"",7.94,"",217,"",0.10,"",0.27,"",404,"",778,"",12.6,"",5.47,"",0.05487,""
04/04/2013,13:32:54,17.49,"",7.94,"",217,"",0.10,"",0.54,"",424,"",777,"",13.0,"",5.72,"",0.05585,""
